experiment_id,seed,test_fold,p11_reported_0.5,p11_topk_src_rate,p11_otsu,p11_gmm,p11_topk_10pct,p11_topk_20pct,p11_topk_30pct,p11_oracle,val_anchor,znorm_val,platt,bbse,gmm_logit,ensemble,oracle_mcc,auroc
experiment_id,seed,test_fold,p11_reported_0.5,p11_topk_src_rate,p11_otsu,p11_gmm,p11_topk_10pct,p11_topk_20pct,p11_topk_30pct,p11_oracle,val_anchor,znorm_val,platt,bbse,gmm_logit,ensemble,oracle_mcc,auroc
E14.1_ts_gib_b0.01,2,lycos_ids2017,-0.081983,0.669159,-0.090930,0.145207,0.149004,0.669159,0.603374,0.688561,-0.006778,-0.006778,-0.000288,-0.003098,0.122074,-0.090930,0.688561,0.794466
E14.1_ts_gib_b0.01,2,ton_iot,0.030511,0.026800,0.029093,0.027830,0.037161,0.049653,0.057244,0.082139,0.068709,0.068709,0.062258,0.016388,0.067256,0.029093,0.082139,0.539648
E14.1_ts_gib_b0.01,2,unsw_nb15,0.067021,0.026397,0.068766,0.068813,0.348479,0.026397,0.026397,0.516756,0.067115,0.067115,0.000000,0.026397,0.070132,0.066982,0.516756,0.757591
E14.2_ts_sage_d60,0,cic_ids2018,0.554964,0.668569,0.379465,0.376061,0.795074,0.668569,0.512933,0.809879,0.737785,0.737785,0.005169,0.207249,0.230682,0.668569,0.809879,0.948499
E14.2_ts_sage_d60,0,lycos_ids2017,-0.103597,0.324374,-0.103644,-0.103848,-0.160093,0.324374,0.324374,0.504779,-0.072332,-0.072332,-0.073324,-0.043848,0.077609,-0.103644,0.504779,0.666889
E14.2_ts_sage_d60,0,ton_iot,0.015738,0.050397,0.016798,0.016016,0.050397,0.050397,0.050397,0.128173,0.051972,0.051972,0.053454,0.020364,0.055218,0.016798,0.128173,0.506459
E14.2_ts_sage_d60,0,unsw_nb15,0.050876,0.014027,0.061790,0.060579,0.402840,0.014027,0.014027,0.510216,0.049141,0.049141,0.000000,0.014027,0.070818,0.049133,0.510216,0.754164
E13.4_gib_nofeat_b0.01,0,ton_iot,0.286613,0.116526,0.276443,0.282370,0.168727,0.067304,0.185156,0.338880,0.233102,0.233102,0.000000,0.109063,0.215184,0.276443,0.338880,0.668558
B4_raw,0,lycos_ids2017,-0.071304,-0.261870,-0.165733,-0.212918,-0.176987,-0.251345,-0.264330,0.024217,-0.030047,-0.030047,-0.028919,-0.056471,-0.112550,-0.165733,0.024217,0.377956
B4_raw,0,cic_ids2018,0.193546,0.143188,0.191488,0.152987,0.246629,0.194822,0.100079,0.497146,0.473863,0.473863,0.393549,0.227540,0.205664,0.191488,0.497146,0.453630
B4_raw,0,unsw_nb15,-0.184328,-0.156361,-0.202172,-0.221398,-0.059154,-0.128216,-0.180881,0.144821,0.002552,0.002552,-0.016146,-0.182601,-0.452773,-0.182601,0.144821,0.172393
B4_raw,0,ton_iot,-0.167576,0.186849,-0.167301,-0.066563,0.018920,0.256492,0.239404,0.286628,-0.166300,-0.166300,-0.166238,-0.162443,0.196464,-0.167301,0.286628,0.629509
